zip_x,2010 Census Population,20-29,30-39,40-49,50-59,60-69,70-79,>79
1001,16769,1157,1090,1191,1140,788,453,310
1002,29049,2004,1888,2062,1975,1365,784,537
1003,10372,716,674,736,705,487,280,192
1005,5079,350,330,361,345,239,137,94
1007,14649,1011,952,1040,996,689,396,271
1008,1263,87,82,90,86,59,34,23
1009,741,51,48,53,50,35,20,14
1010,3609,249,235,256,245,170,97,67
1011,1370,95,89,97,93,64,37,25
1012,661,46,43,47,45,31,18,12
1013,23188,1600,1507,1646,1577,1090,626,429
1020,29668,2047,1928,2106,2017,1394,801,549
1022,2451,169,159,174,167,115,66,45
1026,946,65,61,67,64,44,26,18
1027,17660,1219,1148,1254,1201,830,477,327
1028,15720,1085,1022,1116,1069,739,424,291
1029,789,54,51,56,54,37,21,15
1030,11669,805,758,828,793,548,315,216
1031,1308,90,85,93,89,61,35,24
1032,570,39,37,40,39,27,15,11
1033,6227,430,405,442,423,293,168,115
1034,2021,139,131,143,137,95,55,37
1035,5250,362,341,373,357,247,142,97
1036,5109,353,332,363,347,240,138,95
1037,838,58,54,59,57,39,23,16
1038,2545,176,165,181,173,120,69,47
1039,1336,92,87,95,91,63,36,25
1040,39880,2752,2592,2831,2712,1874,1077,738
1050,2530,175,164,180,172,119,68,47
1053,1685,116,110,120,115,79,45,31
1054,1851,128,120,131,126,87,50,34
1056,21103,1456,1372,1498,1435,992,570,390
1057,8534,589,555,606,580,401,230,158
1060,15284,1055,993,1085,1039,718,413,283
1062,11150,769,725,792,758,524,301,206
1063,430,30,28,31,29,20,12,8
1066,64,4,4,5,4,3,2,1
1068,1902,131,124,135,129,89,51,35
1069,8469,584,550,601,576,398,229,157
1070,629,43,41,45,43,30,17,12
1071,1596,110,104,113,109,75,43,30
1072,1478,102,96,105,101,69,40,27
1073,5792,400,376,411,394,272,156,107
1074,319,22,21,23,22,15,9,6
1075,17527,1209,1139,1244,1192,824,473,324
1077,9502,656,618,675,646,447,257,176
1079,692,48,45,49,47,33,19,13
1080,2334,161,152,166,159,110,63,43
1081,1698,117,110,121,115,80,46,31
1082,10322,712,671,733,702,485,279,191
1083,2888,199,188,205,196,136,78,53
1084,176,12,11,12,12,8,5,3
1085,41117,2837,2673,2919,2796,1932,1110,761
1086,687,47,45,49,47,32,19,13
1088,670,46,44,48,46,31,18,12
1089,28391,1959,1845,2016,1931,1334,767,525
1092,1394,96,91,99,95,66,38,26
1093,325,22,21,23,22,15,9,6
1094,351,24,23,25,24,16,9,6
1095,14319,988,931,1017,974,673,387,265
1096,2217,153,144,157,151,104,60,41
1097,111,8,7,8,8,5,3,2
1098,1101,76,72,78,75,52,30,20
1103,2479,171,161,176,169,117,67,46
1104,22865,1578,1486,1623,1555,1075,617,423
1105,12350,852,803,877,840,580,333,228
1106,16021,1105,1041,1137,1089,753,433,296
1107,11611,801,755,824,790,546,313,215
1108,26688,1841,1735,1895,1815,1254,721,494
1109,30250,2087,1966,2148,2057,1422,817,560
1118,14071,971,915,999,957,661,380,260
1119,14152,976,920,1005,962,665,382,262
1128,2631,182,171,187,179,124,71,49
1129,7019,484,456,498,477,330,190,130
1151,8698,600,565,618,591,409,235,161
1199,0,0,0,0,0,0,0,0
1201,46504,3209,3023,3302,3162,2186,1256,860
1220,8603,594,559,611,585,404,232,159
1222,829,57,54,59,56,39,22,15
1223,2314,160,150,164,157,109,62,43
1224,182,13,12,13,12,9,5,3
1225,3117,215,203,221,212,146,84,58
1226,6945,479,451,493,472,326,188,128
1229,95,7,6,7,6,4,3,2
1230,8430,582,548,599,573,396,228,156
1235,2766,191,180,196,188,130,75,51
1236,1509,104,98,107,103,71,41,28
1237,2496,172,162,177,170,117,67,46
1238,6047,417,393,429,411,284,163,112
1240,4534,313,295,322,308,213,122,84
1242,476,33,31,34,32,22,13,9
1243,334,23,22,24,23,16,9,6
1244,151,10,10,11,10,7,4,3
1245,985,68,64,70,67,46,27,18
1247,16087,1110,1046,1142,1094,756,434,298
1253,731,50,48,52,50,34,20,14
1254,972,67,63,69,66,46,26,18
1255,915,63,59,65,62,43,25,17
1256,692,48,45,49,47,33,19,13
1257,2121,146,138,151,144,100,57,39
1258,374,26,24,27,25,18,10,7
1259,635,44,41,45,43,30,17,12
1260,240,17,16,17,16,11,6,4
1262,1238,85,80,88,84,58,33,23
1264,137,9,9,10,9,6,4,3
1266,1463,101,95,104,99,69,40,27
1267,7989,551,519,567,543,375,216,148
1270,778,54,51,55,53,37,21,14
1301,17700,1221,1151,1257,1204,832,478,327
1330,1506,104,98,107,102,71,41,28
1331,13263,915,862,942,902,623,358,245
1337,2596,179,169,184,177,122,70,48
1338,187,13,12,13,13,9,5,3
1339,1438,99,93,102,98,68,39,27
1340,1701,117,111,121,116,80,46,31
1341,1833,126,119,130,125,86,49,34
1342,1492,103,97,106,101,70,40,28
1343,75,5,5,5,5,4,2,1
1344,1498,103,97,106,102,70,40,28
1346,533,37,35,38,36,25,14,10
1347,166,11,11,12,11,8,4,3
1349,1091,75,71,77,74,51,29,20
1350,121,8,8,9,8,6,3,2
1351,2270,157,148,161,154,107,61,42
1354,1500,104,98,107,102,71,41,28
1355,878,61,57,62,60,41,24,16
1360,3032,209,197,215,206,143,82,56
1364,7969,550,518,566,542,375,215,147
1366,1277,88,83,91,87,60,34,24
1367,522,36,34,37,35,25,14,10
1368,1261,87,82,90,86,59,34,23
1370,4084,282,265,290,278,192,110,76
1373,4600,317,299,327,313,216,124,85
1375,3684,254,239,262,251,173,99,68
1376,5247,362,341,373,357,247,142,97
1378,774,53,50,55,53,36,21,14
1379,813,56,53,58,55,38,22,15
1420,40337,2783,2622,2864,2743,1896,1089,746
1430,6089,420,396,432,414,286,164,113
